epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,8.33551,2.02629,0.66667,0.97222,1.59277,0.000192889,0.000192889,0.000192889
2,17.1766,0.64593,0.97222,1,0.12134,0.000385039,0.000385039,0.000385039
3,25.6164,0.16606,0.94444,1,0.16392,0.000573308,0.000573308,0.000573308
4,34.1756,0.19106,1,1,0.03956,0.000570536,0.000570536,0.000570536
5,41.9384,0.13857,1,1,0.00751,0.000564715,0.000564715,0.000564715
6,45.5882,0.116,1,1,0.01042,0.000558894,0.000558894,0.000558894
7,49.1566,0.11132,1,1,0.0048,0.000553073,0.000553073,0.000553073
8,52.4869,0.10648,1,1,0.0093,0.000547252,0.000547252,0.000547252
9,57.9296,0.06011,1,1,0.05306,0.00054143,0.00054143,0.00054143
10,61.8236,0.07421,1,1,0.00281,0.000535609,0.000535609,0.000535609
11,65.4287,0.03673,1,1,0.00019,0.000529788,0.000529788,0.000529788
12,69.1255,0.04377,1,1,0.00132,0.000523967,0.000523967,0.000523967
13,72.4673,0.05838,0.97222,1,0.02316,0.000518146,0.000518146,0.000518146
14,79.2134,0.05509,1,1,0.00063,0.000512324,0.000512324,0.000512324
15,86.8199,0.05787,1,1,0.00034,0.000506503,0.000506503,0.000506503
16,92.5327,0.04532,1,1,0.00176,0.000500682,0.000500682,0.000500682
17,98.2203,0.04352,1,1,0.00016,0.000494861,0.000494861,0.000494861
18,105.572,0.03341,1,1,0.00014,0.00048904,0.00048904,0.00048904
19,110.646,0.03524,1,1,0.00415,0.000483218,0.000483218,0.000483218
20,114.683,0.02139,1,1,0.00049,0.000477397,0.000477397,0.000477397
21,118.806,0.03855,1,1,0.00042,0.000471576,0.000471576,0.000471576
22,122.65,0.03949,1,1,0.00181,0.000465755,0.000465755,0.000465755
23,126.836,0.02561,1,1,0.00011,0.000459934,0.000459934,0.000459934
24,130.755,0.03131,1,1,0.00022,0.000454112,0.000454112,0.000454112
